sys,expt_value,calc_value,error
SiH4,154.0,145.39494654347072,-8.605053456529276
PH3,187.1,176.56963335702312,-10.530366642976873
SH2,168.8,162.87314064698876,-5.9268593530112526
ClH,133.6,128.40285713993944,-5.197142860060552
NH3,202.5,197.3415784504832,-5.158421549516788
OH2,165.1,159.94782974079862,-5.15217025920137
C2H2,152.3,144.82150171644753,-7.478498283552483
H2,100.8,97.17436858372582,-3.6256314162741745
