sys,expt_value,calc_value,error
SiH4,154.0,139.38454030713183,-14.615459692868171
PH3,187.1,164.1361559816287,-22.963844018371304
SH2,168.8,153.51962268550415,-15.280377314495865
ClH,133.6,121.08339383837301,-12.516606161626981
NH3,202.5,185.33282873150893,-17.167171268491074
OH2,165.1,151.2008809692852,-13.899119030714786
C2H2,152.3,137.22090900552575,-15.079090994474257
H2,100.8,91.92032998970888,-8.879670010291122
